id,location_lat,location_lon,city_id,city_name_ar,city_name_en,region_id,region_key,region_name_ar,region_name_en,region_order_sequence,availability,available_units_count,available_units_for_auctions_count,basement,bookable,city_order_sequence,delegated_by_broker,developer_name,driver_room,elevator,group_unit_id,maid_room,max_area,max_bathroom,max_bed_room,max_price,max_street_width,max_unit_age,min_area,min_bathroom,min_bed_room,min_price,min_street_width,min_unit_age,pool,project_name,project_type,promoted,publish,publish_date,resource_id,resource_type,subsidizable,type,under_construction_status,unit_types_0,unit_types_1,unit_types_2,use_register_interest_flag,views_count
project_723,24.539033,39.683141,26,المدينة المنورة,AL MADINAH AL MUNAWWARAH,3,madinah,المدينة المنورة,Madinah,0,1,1,1,0,0,0,0,شركة دور العقارية للعقارات المحدودة,0,0,0,0,330,0,4,999000,0,0,283,0,4,799000,0,0,0,أنوار السكني - المدينة المنورة,offplan_private_land,0,1,2021-09-30,723,projects,1,marketplaces,under_construction,apartment,villa,,0,18789
project_688,24.382954,39.670739,26,المدينة المنورة,AL MADINAH AL MUNAWWARAH,3,madinah,المدينة المنورة,Madinah,0,1,377,377,0,0,0,0,شركة قواعد الانماء للإنشاء والتطوير,0,0,0,0,1346.48,0,1,1855986,0,0,210,0,1,262500,0,0,0,مخطط الاندلس - المدينة المنورة,lands_private_land,0,1,2021-09-14,688,projects,0,marketplaces,,land,,,0,137156
project_689,26.3490285,50.093921317,32,الدمام,AD DAMMAM,4,eastern_province,المنطقة الشرقية,Eastern Province,0,1,31,0,0,1,0,0,الرائم للمقاولات,0,0,0,0,182,0,3,819000,0,0,153,0,3,604350,0,0,0,الفاخرية - الدمام,offplan_private_land,0,1,2021-08-31,689,projects,1,marketplaces,under_construction,apartment,,,0,8995
project_707,26.227053,50.204482,31,الخبر,AL KHUBAR,4,eastern_province,المنطقة الشرقية,Eastern Province,0,1,1,0,0,1,0,0,شركة سكنا للتطوير العقاري,0,0,0,0,161,0,3,685000,0,0,90,0,2,465000,0,0,0,مجمع أريس السكني - الدمام,offplan_private_land,0,1,2021-08-31,707,projects,1,marketplaces,under_construction,apartment,,,0,11090
project_135,26.875936,40.332131,1019,الشملي,ASH SHAMLI,6,hail,حائل,"Ha'il",0,0,0,0,0,1,0,0,,0,0,0,0,585.397,0,1,0,0,0,469.335,0,1,0,0,0,0,مخطط الشملي,lands_moh_land,0,1,2021-08-27,135,projects,1,marketplaces,,land,,,0,1943
project_143,27.463522,48.535558,1953,النعيرية,"AN NU'AYRIYAH",4,eastern_province,المنطقة الشرقية,Eastern Province,0,0,0,0,0,1,0,0,,0,0,0,0,568.23,0,1,0,0,0,450,0,1,0,0,0,0,مشروع  أنوار الخليج - النعيرية,lands_moh_land,0,1,2021-08-27,143,projects,1,marketplaces,,land,,,0,140397
project_982,27.72325,42.531835,2357,بقعاء,"BAQ'A",6,hail,حائل,"Ha'il",0,1,2,0,0,1,0,0,,0,0,0,0,1155,0,1,0,0,0,884.1,0,1,0,0,0,0,مخطط الشعلانية  357/3,lands_moh_land,0,1,2022-06-30,982,projects,1,marketplaces,,land,,,0,1988
project_147,25.515164,47.190506,2731,رماح,RUMAH,1,riyadh,الرياض,Riyadh,0,0,0,0,0,1,0,0,,0,0,0,0,500,0,1,0,0,0,495,0,1,0,0,0,0,مشروع إسكان رماح,lands_moh_land,0,1,2021-08-27,147,projects,1,marketplaces,,land,,,0,13768
project_140,17.477711,47.06493,2854,شرورة,SHARURAH,10,najran,نجران,Najran,0,1,8,8,0,0,0,0,,0,0,0,0,553,0,1,0,0,0,400,0,1,0,0,0,0,مخطط النزهة - شرورة,lands_moh_land,0,1,2021-08-27,140,projects,1,marketplaces,,land,,,0,106802
project_156,18.143111,42.846972,51,احد رفيده,AHAD RIFAYDAH,7,asir,عسير,"'Asir",0,0,0,0,0,1,0,0,,0,0,0,0,400,0,1,0,0,0,400,0,1,0,0,0,0,مشروع  نسيم الجبل - أحد رفيدة,lands_moh_land,0,1,2021-08-27,156,projects,1,marketplaces,,land,,,0,105087
project_154,20.158545,40.265307,1662,الليث,AL LITH,2,makkah,مكة المكرمة,Makkah,0,1,5,5,0,0,0,0,,0,0,0,0,502.001211745,0,1,0,0,0,500.998535562,0,1,0,0,0,0,الليث,lands_moh_land,0,1,2021-08-27,154,projects,1,marketplaces,,land,,,0,70623
project_157,17.378554,42.448969,2398,بيش,BAYSH,8,jizan,جازان,Jizan,0,0,0,0,0,1,0,0,,0,0,0,0,536.25,0,1,0,0,0,487.5,0,1,0,0,0,0,بيش 83,lands_moh_land,0,1,2021-08-27,157,projects,1,marketplaces,,land,,,0,37996
project_161,18.558944,44.192556,3530,يدمة,YADAMAH,10,najran,نجران,Najran,0,0,0,0,0,1,0,0,,0,0,0,0,711,0,1,0,0,0,456.06,0,1,0,0,0,0,مخطط أصيل اللجام - يدمة,lands_moh_land,0,1,2021-08-27,161,projects,1,marketplaces,,land,,,0,11885
project_164,21.37055,40.620688,55,الطائف,AT TAIF,2,makkah,مكة المكرمة,Makkah,0,0,0,0,0,1,0,0,,0,0,0,0,450,0,1,0,0,0,450,0,1,0,0,0,0,وادي جليل,lands_moh_land,0,1,2021-08-27,164,projects,1,marketplaces,,land,,,0,8162881
project_158,19.950418,42.599198,2399,بيشه (بيشه),BISHAH,7,asir,عسير,"'Asir",0,0,0,0,0,1,0,0,,0,0,0,0,550.41,0,1,0,0,0,450,0,1,0,0,0,0,مشروع الزهور - بيشة,lands_moh_land,0,1,2021-08-27,158,projects,1,marketplaces,,land,,,0,11859
project_165,28.431806,48.435944,635,الخفجي,AL KHAFJI,4,eastern_province,المنطقة الشرقية,Eastern Province,0,1,4,0,0,0,0,0,,0,0,0,0,633.12,0,1,0,0,0,423.41,0,1,0,0,0,0,مشروع جوهرة الخفجي,lands_moh_land,0,1,2021-08-27,165,projects,1,marketplaces,,land,,,0,378600
project_166,20.415434,44.918593,3505,وادي الدواسر,WADI AD DAWASIR,1,riyadh,الرياض,Riyadh,0,1,7,7,0,0,0,0,,0,0,0,0,500,0,1,0,0,0,500,0,1,0,0,0,0,مشروع منتزه الوادي - وادي الدواسر,lands_moh_land,0,1,2021-08-27,166,projects,1,marketplaces,,land,,,0,86729
project_981,27.101857,47.015506,3167,قرية (قرية العليا),"QARYAT AL 'ULYA",4,eastern_province,المنطقة الشرقية,Eastern Province,0,1,183,0,0,1,0,0,,0,0,0,0,1246.97,0,1,0,0,0,575.49,0,1,0,0,0,0,مخطط ش.ع 172 الرفاع,lands_moh_land,0,1,2022-06-30,981,projects,1,marketplaces,,land,,,0,1751
